ID,Material,Name,Density,Embodied Carbon
181,Concrete,Concrete RC25/30 with 50% GGBS cement,2390.0,172.0060314645
182,Concrete,Concrete RC28/35 with 50% GGBS cement,2390.0,186.2267304645
183,Concrete,Concrete RC32/40 with 50% GGBS cement,2390.0,212.2368194884
184,Concrete,Concrete RC35/45 with 50% GGBS cement,2390.0,227.58546664367762
185,Concrete,Concrete RC40/50 with 50% GGBS cement,2390.0,242.69947209257148
186,Concrete,Concrete PAV1 with 50% GGBS cement,2390.0,186.928586543085
187,Concrete,Concrete PAV2 with 50% GGBS cement,2390.0,212.33789025795264
188,Concrete,Concrete GEN0 with 70% GGBS cement,2360.0,80.2515375129864
189,Concrete,Concrete GEN1 with 70% GGBS cement,2360.0,103.2008303451389
190,Concrete,Concrete GEN 2 with 70% GGBS cement,2350.0,109.91843469757536
191,Concrete,Concrete GEN 3 with 70% GGBS cement,2350.0,116.83262480327457
192,Concrete,Concrete RC20/25 with 70% GGBS cement,2390.0,125.9870334483437
193,Concrete,Concrete RC25/30 with 70% GGBS cement,2390.0,132.80737877269593
194,Concrete,Concrete RC28/35 with 70% GGBS cement,2390.0,139.655529958188
195,Concrete,Concrete RC32/40 with 70% GGBS cement,2390.0,151.56126328780235
196,Concrete,Concrete RC35/45 with 70% GGBS cement,2390.0,161.76517160689247
197,Concrete,Concrete RC40/50 with 70% GGBS cement,2390.0,171.8194699484471
198,Concrete,Concrete PAV1 with 70% GGBS cement,2390.0,139.655529958188
199,Concrete,Concrete PAV2 with 70% GGBS cement,2390.0,151.56906337352467
200,Concrete,Concrete GEN0 with 14% limestone cement,2370.0,145.599689119794
201,Concrete,Concrete GEN1 with 14% limestone cement,2370.0,365.51147222423333
202,Concrete,Concrete GEN 2 with 14% limestone cement,2370.0,214.45999842019202
203,Concrete,Concrete GEN 3 with 14% limestone cement,2380.0,229.9913705305608
204,Concrete,Concrete RC20/25 with 14% limestone cement,2400.0,249.6673494744324
205,Concrete,Concrete RC25/30 with 14% limestone cement,2400.0,265.98668621670004
206,Concrete,Concrete RC28/35 with 14% limestone cement,2400.0,281.7236537767
207,Concrete,Concrete RC32/40 with 14% limestone cement,2400.0,309.2021545306
208,Concrete,Concrete RC35/45 with 14% limestone cement,2400.0,336.67453603688995
209,Concrete,Concrete RC40/50 with 14% limestone cement,2400.0,366.8877514087783
210,Concrete,Concrete PAV1 with 14% limestone cement,2400.0,280.53579334266357
211,Concrete,Concrete PAV2 with 14% limestone cement,2400.0,310.29062259292414
212,Concrete,Concrete GEN0 with 35% natural pozzolanic ash cement,2370.0,131.898310263495
